<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
US1.NVDA,D,03/01/22,000000,298.1500000,307.0400000,298.0050000,301.1600000,755639
US1.NVDA,D,04/01/22,000000,302.7700000,304.5400000,283.5000000,292.9800000,1022671
US1.NVDA,D,05/01/22,000000,289.2100000,294.0000000,275.3500000,276.0000000,917426
US1.NVDA,D,06/01/22,000000,275.9500000,284.3400000,270.7200000,281.9300000,878605
US1.NVDA,D,07/01/22,000000,281.7000000,284.0800000,270.6500000,272.3300000,825943
US1.NVDA,D,10/01/22,000000,265.8100000,274.6700000,256.4700000,274.1400000,1134794
US1.NVDA,D,11/01/22,000000,273.1500000,280.0000000,268.5000000,278.2200000,797848
US1.NVDA,D,12/01/22,000000,280.6650000,285.7800000,276.1300000,279.9000000,614025
US1.NVDA,D,13/01/22,000000,283.8100000,284.4400000,265.0700000,265.6000000,1166721
US1.NVDA,D,14/01/22,000000,263.0900000,271.8500000,262.3000000,269.1700000,734437
US1.NVDA,D,18/01/22,000000,262.6000000,266.3200000,257.7500000,259.0100000,901874
US1.NVDA,D,19/01/22,000000,260.8400000,265.4000000,250.5900000,250.6000000,1004420
US1.NVDA,D,20/01/22,000000,252.9700000,255.7500000,240.7800000,241.5000000,810403
US1.NVDA,D,21/01/22,000000,235.0700000,248.1200000,232.6800000,233.5100000,1869100
US1.NVDA,D,24/01/22,000000,223.3000000,233.7300000,208.9300000,233.7300000,2276111
US1.NVDA,D,25/01/22,000000,225.4600000,229.3700000,220.0000000,223.2100000,1437713
US1.NVDA,D,26/01/22,000000,232.4000000,240.4500000,223.0100000,228.1900000,1736330
US1.NVDA,D,27/01/22,000000,235.7500000,239.8600000,216.7600000,219.4000000,1218016
US1.NVDA,D,28/01/22,000000,220.1100000,228.5500000,213.0000000,228.5000000,1302911
US1.NVDA,D,31/01/22,000000,231.7400000,245.0700000,230.5800000,245.0500000,1022787
US1.NVDA,D,01/02/22,000000,251.0700000,251.4100000,238.9600000,246.5100000,931178
US1.NVDA,D,02/02/22,000000,257.3000000,258.1700000,245.7200000,252.4900000,974737
US1.NVDA,D,03/02/22,000000,243.7700000,250.7600000,237.8600000,239.4400000,923436
US1.NVDA,D,04/02/22,000000,239.4800000,246.3500000,236.6200000,243.1300000,799394
